id,movie_id,actor_id
,,
1048,386,75
,,
1049,387,549
,,
1050,387,133
,,
1051,387,560
,,
1052,388,143
,,
1053,388,609
,,
1054,389,611
,,
1055,389,600
,,
1056,389,390
,,
1057,390,313
,,
1058,390,44
,,
1059,390,258
,,
1060,391,417
,,
1061,391,262
,,
1062,392,475
,,
1063,392,501
,,
1064,392,49
,,
1065,393,147
,,
1066,393,499
,,
1067,393,179
,,
1068,394,382
,,
1069,394,475
,,
1070,394,205
,,
1071,395,384
,,
1072,395,515
,,
1073,396,295
,,
1074,396,249
,,
1075,396,420
,,
1076,397,149
,,
1077,397,233
,,
1078,397,170
,,
1079,398,23
,,
1080,398,72
,,
1081,399,595
,,
1082,399,509
,,
1083,400,599
,,
1084,400,34
,,
1085,400,109
,,
1086,401,169
,,
1087,401,498
,,
1088,401,106
,,
1089,402,306
,,
1090,402,348
,,
1091,402,271
,,
1092,403,356
,,
1093,403,482
,,
1094,403,19
,,
1095,404,143
,,
1096,404,366
,,
1097,404,289
,,
1098,405,481
,,
1099,405,514
,,
1100,405,83
,,
1101,406,119
,,
1102,406,446
,,
1103,406,332
,,
1104,407,469
,,
1105,407,465
,,
1106,408,122
,,
1107,408,567
,,
1108,408,108
,,
1109,409,447
,,
1110,409,322
,,
1111,410,147
,,
1112,410,574
,,
1113,410,166
,,
1114,411,458
,,
1115,411,466
,,
1116,411,212
,,
1117,412,210
,,
1118,412,327
,,
1119,412,341
,,
1120,413,417
,,
1121,413,24
,,
1122,413,416
,,
1123,414,609
,,
1124,414,598
,,
1125,415,265
,,
1126,415,173
,,
1127,415,518
,,
1128,416,256
,,
1129,416,399
,,
1130,416,175
,,
1131,417,122
,,
1132,417,536
,,
1133,418,254
,,
1134,418,606
,,
1135,419,135
,,
1136,419,547
,,
1137,419,553
,,
1138,420,549
,,
1139,420,133
,,
1140,421,568
,,
1141,422,270
,,
1142,422,556
,,
1143,422,308
,,
1144,423,496
,,
1145,423,264
,,
1146,424,208
,,
1147,424,575
,,
1148,424,581
,,
1149,425,117
,,
1150,425,580
,,
1151,425,160
,,
1152,426,515
,,
1153,426,55
,,
1154,427,507
,,
1155,427,188
,,
1156,427,115
,,
1157,428,48
,,
1158,428,20
,,
1159,428,84
,,
1160,429,609
,,
1161,429,141
,,
1162,429,314
,,
1163,430,392
,,
1164,430,312
,,
1165,430,422
,,
1166,431,352
,,
1167,431,419
,,
1168,431,151
,,
1169,432,389
,,
1170,432,177
,,
1171,432,383
,,
1172,433,442
,,
1173,433,355
,,
1174,433,8
,,
1175,434,610
,,
1176,434,147
,,
1177,434,538
,,
1178,435,197
,,
1179,435,289
,,
1180,436,127
,,
1181,436,586
,,
1182,436,349
,,
1183,437,242
,,
1184,437,402
,,
1185,437,336
,,
1186,438,593
,,
1187,438,202
,,
1188,439,193
,,
1189,439,142
,,
1190,439,245
,,
1191,440,378
,,
1192,440,43
,,
1193,441,256
,,
1194,441,483
,,
1195,441,202
,,
1196,442,519
,,
1197,442,395
,,
1198,443,276
,,
1199,444,382
,,
1200,444,223
,,
1201,444,111
,,
1202,445,86
,,
1203,446,432
,,
1204,446,18
,,
1205,447,382
,,
1206,447,518
,,
1207,448,76
,,
1208,448,368
,,
1209,448,405
,,
1210,449,552
,,
1211,450,501
,,
1212,450,53
,,
1213,451,21
,,
1214,451,144
,,
1215,451,483
,,
1216,452,50
,,
1217,453,95
,,
1218,453,121
,,
1219,453,547
,,
1220,454,122
,,
1221,454,568
,,
1222,455,315
,,
1223,455,440
,,
1224,455,426
,,
1225,456,566
,,
1226,457,482
,,
1227,457,510
,,
1228,457,257
,,
1229,458,229
,,
